N,P,K,ph,soil_type
102,85,150,7.62,Alkaline
92,100,24,5.72,Loamy
14,106,137,8.75,Alkaline
106,66,150,8.56,Alkaline
71,50,128,4.55,Acidic
20,91,172,8.93,Alkaline
102,103,5,6.15,Loamy
121,43,23,7.84,Alkaline
74,57,91,8.38,Alkaline
87,84,158,6.53,Clay
116,20,33,5.89,Sandy
99,108,63,8.99,Alkaline
103,74,67,4.89,Acidic
130,145,102,5.04,Acidic
52,112,194,5.67,Clay
1,51,52,8.66,Alkaline
87,13,66,9.13,Alkaline
37,38,22,4.82,Acidic
129,90,198,8.68,Alkaline
20,119,31,5.05,Acidic
57,68,10,9.32,Alkaline
21,38,202,7.08,Clay
88,16,191,3.54,Acidic
48,101,10,3.7,Acidic
58,125,35,4.38,Acidic
14,145,109,4.63,Acidic
50,91,98,8.11,Alkaline
107,106,60,4.84,Acidic
54,100,186,9.31,Alkaline
63,118,173,7.32,Clay
130,51,22,7.66,Alkaline
50,62,91,4.81,Acidic
134,137,27,8.86,Alkaline
20,125,168,7.51,Alkaline
72,122,29,8.69,Alkaline
17,9,11,9.24,Alkaline
131,100,152,4.25,Acidic
88,25,137,4.08,Acidic
59,132,22,8.32,Alkaline
13,128,110,8.7,Alkaline
8,25,37,7.0,Sandy
89,58,83,5.7,Sandy
52,142,39,7.42,Sandy
129,108,114,5.33,Acidic
83,115,69,4.93,Acidic
91,120,67,6.43,Loamy
110,61,76,4.8,Acidic
7,132,203,6.4,Clay
34,124,45,9.24,Alkaline
80,74,182,8.54,Alkaline
49,99,132,9.15,Alkaline
103,103,112,8.34,Alkaline
131,46,108,5.63,Sandy
1,74,162,8.37,Alkaline
133,6,42,9.04,Alkaline
53,113,39,9.18,Alkaline
105,69,198,7.6,Alkaline
3,74,178,4.77,Acidic
53,73,140,3.74,Acidic
43,125,106,4.38,Acidic
13,113,72,9.29,Alkaline
94,64,41,6.27,Loamy
47,97,89,8.63,Alkaline
14,16,145,6.29,Clay
39,107,205,7.46,Clay
81,116,177,3.64,Acidic
110,69,33,5.0,Acidic
52,52,45,6.12,Sandy
23,92,60,7.28,Sandy
123,66,20,4.53,Acidic
40,48,144,8.09,Alkaline
14,140,70,5.69,Sandy
44,59,194,8.4,Alkaline
64,112,151,4.09,Acidic
88,51,162,7.58,Alkaline
70,6,148,5.26,Acidic
8,117,145,8.27,Alkaline
87,15,73,5.91,Sandy
128,142,27,7.49,Loamy
135,116,194,9.11,Alkaline
62,94,163,3.62,Acidic
138,59,57,3.57,Acidic
80,21,124,8.12,Alkaline
135,72,149,7.38,Loamy
32,137,132,5.26,Acidic
122,56,53,6.47,Loamy
4,142,181,3.75,Acidic
40,101,199,4.65,Acidic
27,52,158,6.05,Clay
134,33,17,8.5,Alkaline
71,31,112,6.38,Sandy
11,108,170,7.02,Clay
32,64,154,8.74,Alkaline
47,110,89,5.35,Acidic
61,73,161,7.7,Alkaline
36,118,49,8.67,Alkaline
98,25,178,4.72,Acidic
103,106,171,5.64,Loamy
34,135,201,9.38,Alkaline
100,99,86,9.4,Alkaline
130,109,72,4.84,Acidic
0,129,101,3.9,Acidic
4,6,171,5.13,Acidic
102,70,152,5.89,Loamy
26,117,81,6.15,Sandy
136,46,200,7.21,Clay
14,24,39,8.9,Alkaline
89,101,140,5.48,Acidic
41,72,56,8.6,Alkaline
123,79,44,4.06,Acidic
62,129,125,3.75,Acidic
95,51,117,6.52,Loamy
51,9,115,3.86,Acidic
95,53,40,5.85,Loamy
131,128,138,8.88,Alkaline
28,41,74,4.95,Acidic
35,23,77,7.74,Alkaline
12,44,20,5.31,Acidic
70,21,178,3.77,Acidic
85,103,191,6.84,Clay
27,97,42,8.51,Alkaline
65,46,22,5.96,Sandy
44,127,16,7.2,Sandy
61,111,58,8.9,Alkaline
133,76,179,8.24,Alkaline
27,69,5,4.66,Acidic
27,113,147,7.9,Alkaline
107,57,115,6.51,Loamy
43,139,25,7.98,Alkaline
83,137,133,6.47,Clay
29,28,97,4.27,Acidic
74,32,199,6.92,Clay
127,66,144,6.45,Loamy
91,21,128,6.61,Clay
128,24,160,8.77,Alkaline
120,7,43,8.87,Alkaline
26,55,169,6.22,Clay
120,140,64,6.23,Loamy
115,145,163,6.59,Loamy
2,7,190,6.62,Clay
102,77,101,9.2,Alkaline
136,109,108,7.4,Loamy
61,122,143,5.16,Acidic
50,38,114,6.69,Sandy
58,141,33,7.26,Sandy
117,66,93,7.34,Loamy
95,124,123,7.01,Loamy
112,119,145,4.57,Acidic
61,17,55,3.7,Acidic
